id,device_name,"serial_number Number",mac_address,status,branch_id,registered_date,sold_date,cartoon_number
1,quisquam,SN92020962,51:6E:42:93:17:E2,1,2,20:05:43,,1
2,perspiciatis,SN28891466,40:A8:05:1D:35:00,0,1,09:24:58,1992-06-16,3
3,veritatis,SN83130075,46:39:A3:D1:38:9C,0,1,08:57:07,,3
4,fugiat,SN37934965,72:90:A4:D2:8C:13,0,2,13:02:54,,5
5,et,SN68901316,C2:11:98:93:69:FE,0,1,16:56:06,,2
6,facere,SN87434474,F7:31:15:7F:E2:3F,0,1,07:37:53,,1
7,sint,SN11360767,80:36:1C:0E:A8:04,0,2,00:24:25,,2
8,in,SN82113949,3E:DD:F6:3A:72:0E,0,1,02:32:53,,3
9,molestiae,SN23761072,DA:A7:25:B4:D5:1E,0,2,10:49:27,,4
10,cum,SN74788954,B7:5C:EB:54:91:ED,0,2,18:45:40,,2
11,"Pc 2024",12214343,44WEWFDFD-WEWEW-WEWEW,0,1,02:34:57,,1
12,quisquam,SN93728566,CE:6A:D5:B0:E4:EF,0,1,23:16:43,,2
13,laudantium,SN02440856,3A:30:04:31:67:8F,0,2,00:03:04,,1
14,neque,SN90530682,68:85:BB:55:9A:EF,0,2,00:59:43,,5
15,asperiores,SN96214062,4D:3D:EF:D4:43:6F,0,2,09:27:49,,2
16,at,SN03077359,35:F6:01:3B:1D:99,0,1,08:05:16,,5
17,accusamus,SN73583648,25:8D:D2:13:C3:A4,0,1,23:36:44,,5
18,aspernatur,SN24907828,28:1F:EC:4F:C1:B8,0,1,14:07:36,2001-07-09,5
19,modi,SN82289270,B8:B3:FD:CF:75:90,0,2,02:02:27,,5
20,ut,SN00343454,C7:FF:8D:82:55:30,0,1,15:12:07,,5
21,maxime,SN73918446,80:30:B3:DE:F3:F8,0,2,00:33:57,,3
22,omnis,SN37392337,8A:4A:39:A9:CB:BA,0,2,16:37:43,1984-09-12,3
23,enim,SN03207661,F0:5A:E4:02:7A:EB,0,2,05:01:55,,1
24,commodi,SN73998083,E3:63:B4:5D:D6:BE,0,1,21:53:03,,1
25,doloremque,SN65156008,CB:70:E0:B2:8F:4D,0,2,01:51:16,,3
26,et,SN27399595,53:6E:05:36:52:FE,0,2,07:57:14,,1
27,numquam,SN82357651,6F:80:F5:02:2C:0B,0,2,22:30:15,,1
28,eum,SN32857054,76:C9:15:B3:B8:AC,0,2,12:05:27,,5
29,voluptas,SN71514700,4F:D3:D2:7D:41:71,0,2,08:05:58,,1
30,autem,SN95494387,7C:E8:A4:FE:67:48,0,1,19:03:59,,5
31,ea,SN25114229,A4:C0:94:19:8E:D0,0,2,09:22:37,,1
32,praesentium,SN25097095,3E:A9:E7:83:D5:6C,0,2,19:46:20,,2
33,et,SN24300831,D5:D3:B0:72:4F:B1,0,1,08:55:54,,4
34,itaque,SN33216043,52:2D:87:79:B3:3A,0,2,13:08:59,,2
35,maxime,SN07420805,1D:01:F4:24:3B:85,0,2,02:53:17,,2
36,qui,SN51385544,46:53:F2:7D:1E:81,0,2,06:19:45,2023-05-12,5
37,aliquam,SN84106959,69:50:42:12:95:AD,0,2,05:12:14,,2
38,enim,SN27654866,57:67:E5:E0:5F:86,0,1,13:10:46,,4
39,optio,SN43649590,89:53:0A:D2:09:50,0,1,03:38:49,,5
40,vel,SN88126417,41:0D:D2:D7:17:BC,0,1,01:02:00,,5
41,similique,SN85725319,5A:79:7C:B4:07:27,0,1,08:40:23,,2
42,velit,SN58096226,89:5D:E3:97:7F:DB,0,2,22:41:16,,2
43,voluptas,SN02219807,17:AD:BB:2C:D8:DB,0,2,23:24:01,1999-02-24,1
44,illum,SN02219158,01:C4:C4:B3:98:6E,0,2,17:51:33,,2
45,harum,SN06732922,3F:2E:E8:31:5F:81,0,1,03:46:22,,1
46,sit,SN98125693,CB:81:BB:2A:E7:2C,0,1,15:55:00,,3
47,aut,SN02214555,40:F3:9A:3E:14:48,0,2,11:25:07,2012-08-21,2
48,occaecati,SN40142146,19:01:7E:95:05:FA,0,1,14:30:52,1978-04-15,4
49,perferendis,SN33932424,38:F4:E2:E9:FA:EA,0,1,18:37:37,,2
50,praesentium,SN82755243,CB:00:B2:90:96:45,0,2,06:39:08,,5
51,vero,SN32147066,77:14:5E:CE:03:8B,0,1,11:42:31,,4
52,dolorem,SN02213898,68:4C:59:77:A4:C8,0,2,22:28:28,,3
53,ipsum,SN59117713,32:B7:E9:44:5B:23,0,2,15:58:56,,3
54,consectetur,SN24013684,A2:6D:AA:08:BA:B2,0,1,02:56:50,,4
55,rem,SN72947494,39:66:8A:78:CF:23,0,2,23:34:07,,4
56,animi,SN34569269,96:DA:4F:FB:32:4D,0,2,03:42:48,,3
57,doloremque,SN10724708,3D:44:0F:70:50:04,0,1,11:43:42,,1
58,aut,SN02215459,4D:AC:66:B3:74:E9,0,2,02:57:48,,3
59,optio,SN62114926,61:F7:50:3A:26:2C,0,1,00:08:46,,3
60,facilis,SN56792926,EC:AA:F3:8F:27:D8,0,2,08:53:50,,2
61,beatae,SN72444914,19:DB:0C:9D:58:31,0,1,02:43:23,,4
62,laborum,SN08379728,0B:78:B0:CD:1C:4C,0,2,20:26:02,,1
63,animi,SN37688840,B8:14:F1:A8:96:79,0,1,11:55:17,1978-06-25,3
64,dolorum,SN45281496,6D:48:0E:9D:AB:36,0,2,21:21:48,,1
65,cumque,SN09510502,F3:AD:30:6D:47:B5,0,1,19:01:57,,5
66,exercitationem,SN69439349,30:44:44:6E:04:5B,0,1,16:39:55,,1
67,ut,SN88207216,B6:56:35:F0:A5:D9,0,1,06:27:09,,1
68,dolorum,SN96282527,82:FC:64:32:A8:5A,1,1,00:45:47,1971-12-11,2
69,quam,SN02210239,4E:41:61:B3:ED:C0,0,2,02:52:05,,3
70,molestiae,SN48333859,8B:C3:4E:40:AA:D3,0,2,16:06:59,,3
71,voluptatem,SN02219755,F7:08:65:52:64:BE,0,1,22:40:49,,5
72,cumque,SN23747308,DF:33:7B:76:B3:86,0,1,05:40:40,,4
73,non,SN15049254,FF:2C:EC:04:92:D3,0,2,09:24:19,,5
74,architecto,SN53876237,CE:60:FB:13:11:7E,1,2,03:12:23,,1
75,voluptatem,SN04935401,0A:1F:CF:D4:D0:7F,0,2,00:32:25,,2
76,facere,SN11111915,7B:23:91:D4:69:EF,0,2,18:56:32,,3
77,quidem,SN18288099,58:26:4D:EE:2C:3C,0,1,12:25:52,,1
78,illum,SN02024960,09:35:15:AA:BC:01,1,2,11:17:19,2011-08-28,2
79,eos,SN04949930,03:BA:16:29:7E:8A,0,2,00:27:28,,1
80,quia,SN11012951,18:E6:C7:C2:64:AE,0,2,15:08:25,,4
81,quae,SN59861241,FF:1E:40:14:71:63,0,2,04:57:19,1994-12-17,4
82,voluptatum,SN42440055,14:41:42:3A:ED:2C,0,2,05:22:21,2017-12-26,5
83,voluptas,SN86421408,87:F6:9A:12:D7:70,0,1,14:10:19,,5
84,et,SN04842738,1D:CF:EC:29:41:A9,0,2,04:37:52,,1
85,voluptates,SN66785045,73:F1:38:71:3B:85,0,2,04:35:35,,5
86,accusantium,SN14102441,60:C6:6B:5C:2E:B0,0,2,02:15:32,,5
87,qui,SN33285832,D2:3F:E1:C9:2C:12,0,2,23:50:16,,3
88,sit,SN70894381,10:C3:E5:50:49:84,0,2,08:53:16,,1
89,delectus,SN94655515,DB:E0:5E:62:DE:12,0,1,02:52:50,,2
90,officia,SN33628808,47:90:37:C2:A0:7A,0,2,11:58:03,,1
91,est,SN95970968,A0:56:6B:C7:3F:D2,0,2,10:18:18,1984-01-08,5
92,sunt,SN14662163,C2:D8:31:8E:11:59,0,2,12:25:01,,2
93,ratione,SN70528497,24:3C:9C:27:34:1E,0,2,04:59:00,,3
94,quaerat,SN02210588,3A:60:8E:7A:31:3E,0,1,22:44:15,,3
95,nisi,SN59730797,C6:35:F1:64:CF:E1,0,1,15:14:46,,1
96,non,SN18564777,77:C3:26:D2:9C:01,0,1,02:48:13,,3
97,incidunt,SN56340793,D0:FF:9D:6C:91:A5,0,2,01:21:31,,4
98,et,SN10413208,3F:58:22:70:F4:84,0,2,09:02:17,,2
99,eum,SN27791072,BF:08:A8:15:20:9B,0,2,11:49:21,,1
100,fuga,SN37611250,D4:19:B7:36:11:04,0,1,04:00:52,,2
101,veritatis,SN02218215,E2:95:EE:8A:11:B3,0,1,18:40:24,,1
102,et,SN62887524,AC:45:AD:E8:6E:D6,0,1,16:11:24,,5
103,quia,SN14519153,D6:EF:99:C0:C3:42,0,2,00:42:38,,3
104,officia,SN75554728,AF:C4:18:EC:6A:A8,0,2,09:30:58,,5
105,repellat,SN73713689,95:13:E6:F3:D9:E3,0,1,22:56:25,,5
106,voluptatem,SN94698231,40:D4:12:C8:79:54,0,1,16:37:37,,5
107,cum,SN02215388,77:C1:35:2C:FB:E1,0,1,14:27:30,,3
108,repudiandae,SN71307705,9C:05:07:39:93:FC,0,2,05:17:56,,4
109,ut,SN75241948,C4:B1:D2:18:84:FE,0,1,17:34:11,,4
110,non,SN29069092,3D:66:15:7D:CB:F9,1,1,13:42:30,,1
111,est,SN38452388,93:1D:20:A0:0F:F7,0,1,05:16:06,,1
